workload,region,requirement,value,unit,evidence,note
tiny_llama,repeated_head,required_weight_bandwidth,18433966080.0,B/s,derived_requirement,naive reload bandwidth if non-resident
tiny_llama,repeated_head,required_activation_bandwidth,12687360.0,B/s,derived_requirement,activation traffic / deadline
tiny_llama,repeated_head,required_command_rate,450.0,dispatch/s,derived_requirement,host command issue rate to meet deadline
tiny_llama,repeated_head,resident_capacity_bf16,307232768,B,recovered_from_ir,dtype-scaled from captured element count
tiny_llama,repeated_head,resident_capacity_fp8,153616384,B,recovered_from_ir,dtype-scaled from captured element count
tiny_llama,repeated_head,resident_capacity_int8,153616384,B,recovered_from_ir,dtype-scaled from captured element count
tiny_llama,repeated_head,resident_capacity_int4,76808192,B,recovered_from_ir,dtype-scaled from captured element count
tiny_llama,repeated_head,resident_capacity_fp6,115212288,B,recovered_from_ir,dtype-scaled from captured element count
rdt2,repeated_head,macs_per_replan,4959272960.0,MAC,recovered_from_ir,macs_per_step x K=5
rdt2,repeated_head,resident_capacity_required,309739520.0,B,recovered_from_ir,action-head weights (f32); resident set to avoid reloads
rdt2,repeated_head,weight_reload_bytes_per_replan,1548697600.0,B,recovered_from_ir,naive reload: weight_bytes x K=5
rdt2,repeated_head,avoidable_weight_reload_bytes,1238958080.0,B,recovered_from_ir,"removed by residency (keep 1 load, avoid K-1)"
rdt2,repeated_head,dispatches_per_replan,130.0,dispatch,derived_requirement,dispatches_per_step x K=5
rdt2,repeated_head,required_compute_rate,2324659200.0,MAC/s,derived_requirement,macs_per_replan / deadline
rdt2,repeated_head,required_weight_bandwidth,725952000.0,B/s,derived_requirement,naive reload bandwidth if non-resident
rdt2,repeated_head,required_activation_bandwidth,15285750.0,B/s,derived_requirement,activation traffic / deadline
rdt2,repeated_head,required_command_rate,60.9375,dispatch/s,derived_requirement,host command issue rate to meet deadline
rdt2,repeated_head,resident_capacity_bf16,154869760,B,recovered_from_ir,dtype-scaled from captured element count
rdt2,repeated_head,resident_capacity_fp8,77434880,B,recovered_from_ir,dtype-scaled from captured element count
rdt2,repeated_head,resident_capacity_int8,77434880,B,recovered_from_ir,dtype-scaled from captured element count
rdt2,repeated_head,resident_capacity_int4,38717440,B,recovered_from_ir,dtype-scaled from captured element count
rdt2,repeated_head,resident_capacity_fp6,58076160,B,recovered_from_ir,dtype-scaled from captured element count
groot_n1d7,repeated_head,macs_per_replan,81573445632.0,MAC,recovered_from_ir,macs_per_step x K=4
groot_n1d7,repeated_head,resident_capacity_required,2200436736.0,B,recovered_from_ir,action-head weights (f32); resident set to avoid reloads
groot_n1d7,repeated_head,weight_reload_bytes_per_replan,8801746944.0,B,recovered_from_ir,naive reload: weight_bytes x K=4
groot_n1d7,repeated_head,avoidable_weight_reload_bytes,6601310208.0,B,recovered_from_ir,"removed by residency (keep 1 load, avoid K-1)"
groot_n1d7,repeated_head,dispatches_per_replan,464.0,dispatch,derived_requirement,dispatches_per_step x K=4
groot_n1d7,repeated_head,required_compute_rate,152950210560.0,MAC/s,derived_requirement,macs_per_replan / deadline
groot_n1d7,repeated_head,required_weight_bandwidth,16503275520.0,B/s,derived_requirement,naive reload bandwidth if non-resident
groot_n1d7,repeated_head,required_activation_bandwidth,599400960.0,B/s,derived_requirement,activation traffic / deadline
groot_n1d7,repeated_head,required_command_rate,870.0,dispatch/s,derived_requirement,host command issue rate to meet deadline
groot_n1d7,repeated_head,resident_capacity_bf16,1100218368,B,recovered_from_ir,dtype-scaled from captured element count
groot_n1d7,repeated_head,resident_capacity_fp8,550109184,B,recovered_from_ir,dtype-scaled from captured element count
groot_n1d7,repeated_head,resident_capacity_int8,550109184,B,recovered_from_ir,dtype-scaled from captured element count
groot_n1d7,repeated_head,resident_capacity_int4,275054592,B,recovered_from_ir,dtype-scaled from captured element count
groot_n1d7,repeated_head,resident_capacity_fp6,412581888,B,recovered_from_ir,dtype-scaled from captured element count
molmoact,repeated_head,macs_per_replan,7574913024.0,MAC,recovered_from_ir,macs_per_step x K=8
molmoact,repeated_head,resident_capacity_required,3787456512.0,B,recovered_from_ir,action-head weights (f32); resident set to avoid reloads
molmoact,repeated_head,weight_reload_bytes_per_replan,30299652096.0,B,recovered_from_ir,naive reload: weight_bytes x K=8
molmoact,repeated_head,avoidable_weight_reload_bytes,26512195584.0,B,recovered_from_ir,"removed by residency (keep 1 load, avoid K-1)"
molmoact,repeated_head,dispatches_per_replan,136.0,dispatch,derived_requirement,dispatches_per_step x K=8
molmoact,repeated_head,required_compute_rate,4734320640.0,MAC/s,derived_requirement,macs_per_replan / deadline
molmoact,repeated_head,required_weight_bandwidth,18937282560.0,B/s,derived_requirement,naive reload bandwidth if non-resident
molmoact,repeated_head,required_activation_bandwidth,6502400.0,B/s,derived_requirement,activation traffic / deadline
molmoact,repeated_head,required_command_rate,85.0,dispatch/s,derived_requirement,host command issue rate to meet deadline
molmoact,repeated_head,resident_capacity_bf16,1893728256,B,recovered_from_ir,dtype-scaled from captured element count
molmoact,repeated_head,resident_capacity_fp8,946864128,B,recovered_from_ir,dtype-scaled from captured element count
molmoact,repeated_head,resident_capacity_int8,946864128,B,recovered_from_ir,dtype-scaled from captured element count
molmoact,repeated_head,resident_capacity_int4,473432064,B,recovered_from_ir,dtype-scaled from captured element count
molmoact,repeated_head,resident_capacity_fp6,710148096,B,recovered_from_ir,dtype-scaled from captured element count
smolvla,repeated_head,macs_per_replan,50943872000.0,MAC,recovered_from_ir,macs_per_step x K=10
smolvla,repeated_head,resident_capacity_required,206126080.0,B,recovered_from_ir,action-head weights (bf16); resident set to avoid reloads
smolvla,repeated_head,weight_reload_bytes_per_replan,2061260800.0,B,recovered_from_ir,naive reload: weight_bytes x K=10
smolvla,repeated_head,avoidable_weight_reload_bytes,1855134720.0,B,recovered_from_ir,"removed by residency (keep 1 load, avoid K-1)"
smolvla,repeated_head,dispatches_per_replan,1160.0,dispatch,derived_requirement,dispatches_per_step x K=10
smolvla,repeated_head,required_compute_rate,30566323200.0,MAC/s,derived_requirement,macs_per_replan / deadline
smolvla,repeated_head,required_weight_bandwidth,1236756480.0,B/s,derived_requirement,naive reload bandwidth if non-resident
smolvla,repeated_head,required_activation_bandwidth,155854080.0,B/s,derived_requirement,activation traffic / deadline
smolvla,repeated_head,required_command_rate,696.0,dispatch/s,derived_requirement,host command issue rate to meet deadline
smolvla,repeated_head,resident_capacity_bf16,206126080,B,recovered_from_ir,dtype-scaled from captured element count
smolvla,repeated_head,resident_capacity_fp8,103063040,B,recovered_from_ir,dtype-scaled from captured element count
smolvla,repeated_head,resident_capacity_int8,103063040,B,recovered_from_ir,dtype-scaled from captured element count
smolvla,repeated_head,resident_capacity_int4,51531520,B,recovered_from_ir,dtype-scaled from captured element count
smolvla,repeated_head,resident_capacity_fp6,77297280,B,recovered_from_ir,dtype-scaled from captured element count
pi05,repeated_head,macs_per_replan,156931194880.0,MAC,recovered_from_ir,macs_per_step x K=10
pi05,repeated_head,resident_capacity_required,1719926784.0,B,recovered_from_ir,action-head weights (f32); resident set to avoid reloads
pi05,repeated_head,weight_reload_bytes_per_replan,17199267840.0,B,recovered_from_ir,naive reload: weight_bytes x K=10
pi05,repeated_head,avoidable_weight_reload_bytes,15479341056.0,B,recovered_from_ir,"removed by residency (keep 1 load, avoid K-1)"
pi05,repeated_head,dispatches_per_replan,1670.0,dispatch,derived_requirement,dispatches_per_step x K=10
pi05,repeated_head,required_compute_rate,156931194880.0,MAC/s,derived_requirement,macs_per_replan / deadline
pi05,repeated_head,required_weight_bandwidth,17199267840.0,B/s,derived_requirement,naive reload bandwidth if non-resident
pi05,repeated_head,required_activation_bandwidth,876753920.0,B/s,derived_requirement,activation traffic / deadline
pi05,repeated_head,required_command_rate,1670.0,dispatch/s,derived_requirement,host command issue rate to meet deadline
pi05,repeated_head,resident_capacity_bf16,859963392,B,recovered_from_ir,dtype-scaled from captured element count
pi05,repeated_head,resident_capacity_fp8,429981696,B,recovered_from_ir,dtype-scaled from captured element count
pi05,repeated_head,resident_capacity_int8,429981696,B,recovered_from_ir,dtype-scaled from captured element count
pi05,repeated_head,resident_capacity_int4,214990848,B,recovered_from_ir,dtype-scaled from captured element count
pi05,repeated_head,resident_capacity_fp6,322486272,B,recovered_from_ir,dtype-scaled from captured element count
xr0,repeated_head,macs_per_replan,5573990400.0,MAC,recovered_from_ir,macs_per_step x K=5
xr0,repeated_head,resident_capacity_required,169086976.0,B,recovered_from_ir,action-head weights (f32); resident set to avoid reloads
xr0,repeated_head,weight_reload_bytes_per_replan,845434880.0,B,recovered_from_ir,naive reload: weight_bytes x K=5
xr0,repeated_head,avoidable_weight_reload_bytes,676347904.0,B,recovered_from_ir,"removed by residency (keep 1 load, avoid K-1)"
xr0,repeated_head,dispatches_per_replan,85.0,dispatch,derived_requirement,dispatches_per_step x K=5
xr0,repeated_head,required_compute_rate,33443942400.0,MAC/s,derived_requirement,macs_per_replan / deadline
xr0,repeated_head,required_weight_bandwidth,5072609280.0,B/s,derived_requirement,naive reload bandwidth if non-resident
xr0,repeated_head,required_activation_bandwidth,181616640.0,B/s,derived_requirement,activation traffic / deadline
xr0,repeated_head,required_command_rate,510.0,dispatch/s,derived_requirement,host command issue rate to meet deadline
xr0,repeated_head,resident_capacity_bf16,84543488,B,recovered_from_ir,dtype-scaled from captured element count
xr0,repeated_head,resident_capacity_fp8,42271744,B,recovered_from_ir,dtype-scaled from captured element count
xr0,repeated_head,resident_capacity_int8,42271744,B,recovered_from_ir,dtype-scaled from captured element count
xr0,repeated_head,resident_capacity_int4,21135872,B,recovered_from_ir,dtype-scaled from captured element count
xr0,repeated_head,resident_capacity_fp6,31703808,B,recovered_from_ir,dtype-scaled from captured element count
bitvla,repeated_head,macs_per_replan,10092544.0,MAC,recovered_from_ir,macs_per_step x K=7
bitvla,repeated_head,resident_capacity_required,5767168.0,B,recovered_from_ir,action-head weights (f32); resident set to avoid reloads
bitvla,repeated_head,weight_reload_bytes_per_replan,40370176.0,B,recovered_from_ir,naive reload: weight_bytes x K=7
bitvla,repeated_head,avoidable_weight_reload_bytes,34603008.0,B,recovered_from_ir,"removed by residency (keep 1 load, avoid K-1)"
bitvla,repeated_head,dispatches_per_replan,105.0,dispatch,derived_requirement,dispatches_per_step x K=7
bitvla,repeated_head,required_compute_rate,7208960.0,MAC/s,derived_requirement,macs_per_replan / deadline
bitvla,repeated_head,required_weight_bandwidth,28835840.0,B/s,derived_requirement,naive reload bandwidth if non-resident
bitvla,repeated_head,required_activation_bandwidth,189440.0,B/s,derived_requirement,activation traffic / deadline
bitvla,repeated_head,required_command_rate,75.0,dispatch/s,derived_requirement,host command issue rate to meet deadline
bitvla,repeated_head,resident_capacity_bf16,2883584,B,recovered_from_ir,dtype-scaled from captured element count
bitvla,repeated_head,resident_capacity_fp8,1441792,B,recovered_from_ir,dtype-scaled from captured element count
bitvla,repeated_head,resident_capacity_int8,1441792,B,recovered_from_ir,dtype-scaled from captured element count
bitvla,repeated_head,resident_capacity_int4,720896,B,recovered_from_ir,dtype-scaled from captured element count
bitvla,repeated_head,resident_capacity_fp6,1081344,B,recovered_from_ir,dtype-scaled from captured element count
