workload,region,stream,bytes,direction,reuse_count,prefetchable,can_overlap_compute,sideband,candidate_abstraction,evidence
tiny_llama,backbone_once,command_descriptor,unavailable,read,1,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
tiny_llama,repeated_head,weight,614465536,read,7,yes,yes,False,prefetch_weight_once,recovered_from_ir
tiny_llama,repeated_head,activation_input,151552,read,1,unknown,yes,False,double_buffered_activation_tile,recovered_from_ir
tiny_llama,repeated_head,output,271360,write,1,no,yes,False,output_commit_stream,recovered_from_ir
tiny_llama,repeated_head,scale_sideband,unavailable,read,unavailable,unknown,unknown,True,scale_sideband_stream,unavailable
tiny_llama,repeated_head,kv_prefix,unavailable,unavailable,unavailable,unknown,unknown,False,kv_stream_handle,unavailable
tiny_llama,repeated_head,intermediate_writeback,unavailable,unavailable,unavailable,unknown,unknown,False,activation_ring_buffer,unavailable
tiny_llama,repeated_head,command_descriptor,unavailable,read,7,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
rdt2,repeated_head,weight,309739520,read,5,yes,yes,False,prefetch_weight_once,recovered_from_ir
rdt2,repeated_head,activation_input,3038080,read,1,unknown,yes,False,double_buffered_activation_tile,recovered_from_ir
rdt2,repeated_head,output,3483840,write,1,no,yes,False,output_commit_stream,recovered_from_ir
rdt2,repeated_head,scale_sideband,unavailable,read,unavailable,unknown,unknown,True,scale_sideband_stream,unavailable
rdt2,repeated_head,kv_prefix,unavailable,unavailable,unavailable,unknown,unknown,False,kv_stream_handle,unavailable
rdt2,repeated_head,intermediate_writeback,unavailable,unavailable,unavailable,unknown,unknown,False,activation_ring_buffer,unavailable
rdt2,repeated_head,command_descriptor,unavailable,read,5,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
groot_n1d7,repeated_head,weight,2200436736,read,4,yes,yes,False,prefetch_weight_once,recovered_from_ir
groot_n1d7,repeated_head,activation_input,40995840,read,1,unknown,yes,False,double_buffered_activation_tile,recovered_from_ir
groot_n1d7,repeated_head,output,38924288,write,1,no,yes,False,output_commit_stream,recovered_from_ir
groot_n1d7,repeated_head,scale_sideband,unavailable,read,unavailable,unknown,unknown,True,scale_sideband_stream,unavailable
groot_n1d7,repeated_head,kv_prefix,unavailable,unavailable,unavailable,unknown,unknown,False,kv_stream_handle,unavailable
groot_n1d7,repeated_head,intermediate_writeback,unavailable,unavailable,unavailable,unknown,unknown,False,activation_ring_buffer,unavailable
groot_n1d7,repeated_head,command_descriptor,unavailable,read,4,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
molmoact,backbone_once,weight,3787456512,read,1,yes,yes,False,prefetch_weight_once,recovered_from_ir
molmoact,backbone_once,activation_input,3815424,read,1,unknown,yes,False,double_buffered_activation_tile,recovered_from_ir
molmoact,backbone_once,output,6373376,write,1,no,yes,False,output_commit_stream,recovered_from_ir
molmoact,backbone_once,scale_sideband,unavailable,read,unavailable,unknown,unknown,True,scale_sideband_stream,unavailable
molmoact,backbone_once,kv_prefix,unavailable,unavailable,unavailable,unknown,unknown,False,kv_stream_handle,unavailable
molmoact,backbone_once,intermediate_writeback,unavailable,unavailable,unavailable,unknown,unknown,False,activation_ring_buffer,unavailable
molmoact,backbone_once,command_descriptor,unavailable,read,1,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
molmoact,repeated_head,weight,3787456512,read,8,yes,yes,False,prefetch_weight_once,recovered_from_ir
molmoact,repeated_head,activation_input,489472,read,1,unknown,yes,False,double_buffered_activation_tile,recovered_from_ir
molmoact,repeated_head,output,811008,write,1,no,yes,False,output_commit_stream,recovered_from_ir
molmoact,repeated_head,scale_sideband,unavailable,read,unavailable,unknown,unknown,True,scale_sideband_stream,unavailable
molmoact,repeated_head,kv_prefix,unavailable,unavailable,unavailable,unknown,unknown,False,kv_stream_handle,unavailable
molmoact,repeated_head,intermediate_writeback,unavailable,unavailable,unavailable,unknown,unknown,False,activation_ring_buffer,unavailable
molmoact,repeated_head,command_descriptor,unavailable,read,8,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
smolvla,backbone_once,weight,701620224,read,1,yes,yes,False,prefetch_weight_once,recovered_from_ir
smolvla,backbone_once,activation_input,372969600,read,1,unknown,yes,False,double_buffered_activation_tile,recovered_from_ir
smolvla,backbone_once,output,371230464,write,1,no,yes,False,output_commit_stream,recovered_from_ir
smolvla,backbone_once,scale_sideband,unavailable,read,unavailable,unknown,unknown,True,scale_sideband_stream,unavailable
smolvla,backbone_once,kv_prefix,unavailable,unavailable,unavailable,unknown,unknown,False,kv_stream_handle,unavailable
smolvla,backbone_once,intermediate_writeback,unavailable,unavailable,unavailable,unknown,unknown,False,activation_ring_buffer,unavailable
smolvla,backbone_once,command_descriptor,unavailable,read,1,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
smolvla,repeated_head,weight,206126080,read,10,yes,yes,False,prefetch_weight_once,recovered_from_ir
smolvla,repeated_head,activation_input,12317440,read,1,unknown,yes,False,double_buffered_activation_tile,recovered_from_ir
smolvla,repeated_head,output,13658240,write,1,no,yes,False,output_commit_stream,recovered_from_ir
smolvla,repeated_head,scale_sideband,unavailable,read,unavailable,unknown,unknown,True,scale_sideband_stream,unavailable
smolvla,repeated_head,kv_prefix,unavailable,unavailable,unavailable,unknown,unknown,False,kv_stream_handle,unavailable
smolvla,repeated_head,intermediate_writeback,unavailable,unavailable,unavailable,unknown,unknown,False,activation_ring_buffer,unavailable
smolvla,repeated_head,command_descriptor,unavailable,read,10,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
pi05,backbone_once,weight,12452184064,read,1,yes,yes,False,prefetch_weight_once,recovered_from_ir
pi05,backbone_once,activation_input,2741452800,read,1,unknown,yes,False,double_buffered_activation_tile,recovered_from_ir
pi05,backbone_once,output,3438067712,write,1,no,yes,False,output_commit_stream,recovered_from_ir
pi05,backbone_once,scale_sideband,unavailable,read,unavailable,unknown,unknown,True,scale_sideband_stream,unavailable
pi05,backbone_once,kv_prefix,unavailable,unavailable,unavailable,unknown,unknown,False,kv_stream_handle,unavailable
pi05,backbone_once,intermediate_writeback,unavailable,unavailable,unavailable,unknown,unknown,False,activation_ring_buffer,unavailable
pi05,backbone_once,command_descriptor,unavailable,read,1,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
pi05,repeated_head,weight,1719926784,read,10,yes,yes,False,prefetch_weight_once,recovered_from_ir
pi05,repeated_head,activation_input,40921344,read,1,unknown,yes,False,double_buffered_activation_tile,recovered_from_ir
pi05,repeated_head,output,46754048,write,1,no,yes,False,output_commit_stream,recovered_from_ir
pi05,repeated_head,scale_sideband,unavailable,read,unavailable,unknown,unknown,True,scale_sideband_stream,unavailable
pi05,repeated_head,kv_prefix,unavailable,unavailable,unavailable,unknown,unknown,False,kv_stream_handle,unavailable
pi05,repeated_head,intermediate_writeback,unavailable,unavailable,unavailable,unknown,unknown,False,activation_ring_buffer,unavailable
pi05,repeated_head,command_descriptor,unavailable,read,10,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
xr0,repeated_head,weight,169086976,read,5,yes,yes,False,prefetch_weight_once,recovered_from_ir
xr0,repeated_head,activation_input,2359808,read,1,unknown,yes,False,double_buffered_activation_tile,recovered_from_ir
xr0,repeated_head,output,3694080,write,1,no,yes,False,output_commit_stream,recovered_from_ir
xr0,repeated_head,scale_sideband,unavailable,read,unavailable,unknown,unknown,True,scale_sideband_stream,unavailable
xr0,repeated_head,kv_prefix,unavailable,unavailable,unavailable,unknown,unknown,False,kv_stream_handle,unavailable
xr0,repeated_head,intermediate_writeback,unavailable,unavailable,unavailable,unknown,unknown,False,activation_ring_buffer,unavailable
xr0,repeated_head,command_descriptor,unavailable,read,5,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
xr0,backbone_once,weight,4325376,read,1,yes,yes,False,prefetch_weight_once,recovered_from_ir
xr0,backbone_once,activation_input,4224,read,1,unknown,yes,False,double_buffered_activation_tile,recovered_from_ir
xr0,backbone_once,output,8192,write,1,no,yes,False,output_commit_stream,recovered_from_ir
xr0,backbone_once,scale_sideband,unavailable,read,unavailable,unknown,unknown,True,scale_sideband_stream,unavailable
xr0,backbone_once,kv_prefix,unavailable,unavailable,unavailable,unknown,unknown,False,kv_stream_handle,unavailable
xr0,backbone_once,intermediate_writeback,unavailable,unavailable,unavailable,unknown,unknown,False,activation_ring_buffer,unavailable
xr0,backbone_once,command_descriptor,unavailable,read,1,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
bitvla,backbone_once,weight,5767168,read,1,yes,yes,False,prefetch_weight_once,recovered_from_ir
bitvla,backbone_once,activation_input,525312,read,1,unknown,yes,False,double_buffered_activation_tile,recovered_from_ir
bitvla,backbone_once,output,528384,write,1,no,yes,False,output_commit_stream,recovered_from_ir
bitvla,backbone_once,scale_sideband,unavailable,read,unavailable,unknown,unknown,True,scale_sideband_stream,unavailable
bitvla,backbone_once,kv_prefix,unavailable,unavailable,unavailable,unknown,unknown,False,kv_stream_handle,unavailable
bitvla,backbone_once,intermediate_writeback,unavailable,unavailable,unavailable,unknown,unknown,False,activation_ring_buffer,unavailable
bitvla,backbone_once,command_descriptor,unavailable,read,1,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
bitvla,repeated_head,weight,5767168,read,7,yes,yes,False,prefetch_weight_once,recovered_from_ir
bitvla,repeated_head,activation_input,17408,read,1,unknown,yes,False,double_buffered_activation_tile,recovered_from_ir
bitvla,repeated_head,output,20480,write,1,no,yes,False,output_commit_stream,recovered_from_ir
bitvla,repeated_head,scale_sideband,unavailable,read,unavailable,unknown,unknown,True,scale_sideband_stream,unavailable
bitvla,repeated_head,kv_prefix,unavailable,unavailable,unavailable,unknown,unknown,False,kv_stream_handle,unavailable
bitvla,repeated_head,intermediate_writeback,unavailable,unavailable,unavailable,unknown,unknown,False,activation_ring_buffer,unavailable
bitvla,repeated_head,command_descriptor,unavailable,read,7,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
